Nagpur	0	0	0	0	28	35	33	0	0	44	50	26	24	39	40	34	59	34	42	89	82	101	87	51	40	36	56	71	106	44	48	33	46	30	28
Gwalior	0	0	0	0	2	0	3	0	0	13	10	5	10	3	5	5	3	3	5	8	11	18	10	11	1	3	8	4	4	8	3	6	4	4	3
Cuttack	0	0	0	0	12	4	5	0	0	39	19	11	20	21	39	17	12	22	17	24	25	20	30	22	14	8	21	18	41	37	25	29	18	17	12
Port Blair	0	0	0	0	2	0	0	0	0	3	0	6	5	5	0	3	0	2	0	0	2	0	0	0	0	0	4	7	0	6	1	2	3	3	0
Siliguri	0	0	0	0	5	10	10	0	0	7	7	10	11	5	12	14	8	5	13	10	5	15	3	7	5	6	11	7	9	4	10	3	13	21	13
Bathinda	0	0	0	0	0	5	3	0	0	0	1	2	1	4	3	4	7	6	53	8	6	4	3	13	2	12	11	12	7	12	20	22	12	8	10
Jodhpur	0	0	0	0	30	16	9	0	0	12	11	17	26	22	25	24	23	30	22	10	19	44	10	24	14	23	18	23	11	15	11	8	11	26	26
Dindigul	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1	1	6	0	1	0	0	0	0	6	1	2	2	0
Hyderabad	0	0	0	0	81	71	115	0	0	247	306	367	228	605	378	326	328	400	275	275	282	461	348	586	236	311	367	367	277	263	237	436	371	338	137
Kanpur	0	0	0	0	2	8	20	0	0	19	20	32	38	37	40	43	35	33	14	27	24	89	31	25	42	12	31	17	14	14	24	13	39	43	12
Dehradun	0	0	0	0	5	8	5	0	0	59	41	29	29	31	38	23	15	39	21	20	29	45	52	26	23	29	24	26	21	28	25	24	14	32	8
Bhagalpur	0	0	0	0	1	0	2	0	0	3	1	1	0	0	4	0	3	3	3	2	0	7	8	3	2	1	1	0	2	1	0	0	1	1	0
Panaji	0	0	0	0	17	21	20	0	0	26	17	51	28	46	48	44	62	43	47	29	61	64	44	39	47	45	57	35	24	53	49	66	63	36	55
Guwahati	0	0	0	0	14	21	20	0	0	43	34	62	21	45	86	44	65	34	43	26	46	53	49	38	36	39	65	26	84	216	69	36	56	57	29
Sambalpur	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	1	0	0	0	3	1	2	5	2	1	9	1	3	0	2	4	2	3
Hisar	0	0	0	0	2	2	0	0	0	1	12	3	2	0	0	4	4	6	11	5	10	2	2	1	1	1	4	5	1	7	3	3	0	2	0
Agra	0	0	0	0	10	14	8	0	0	29	13	11	12	24	11	26	22	16	7	9	5	18	16	11	164	278	32	38	7	27	25	21	38	41	16
